title,price,detail,ISBN,review
  Every Boy’s Book: A Complete Encyclopædia of Sports and Amusements , $4.99 ,"It would be impossible for a single author to produce a book of this description with a fair prospect of success, because it necessarily treats of many subjects; and a perfect acquaintance with some of the more important would occupy a lifetime. The reading and researches of one man would not be sufficiently extensive to embrace the rich variety of the materials required. Being fully convinced of this fact, the Publishers have endeavoured to obtain the aid of the most distinguished writers in the various departments of knowledge which the following pages are intended to illustrate. Thus each contributor, in furnishing his quota of information for the work, has been engaged in a congenial task, one best suited to his peculiar turn of mind, as well as to his individual acquirements, and one upon which he could, therefore, with the greatest ease and accuracy dilate. This brief explanation will show in what spirit the Publishers embarked in the undertaking; and the accompanying list of the writers may be received as a proof that they have succeeded in securing the services of the most competent authorities. With that portion of the book with which he was practically acquainted each of the following gentlemen has dealt: W. Martin, Esq., C. Baker, Esq., R. B. Wormald, Esq., J. F. Wood, Esq., A. McLaren, Esq., Stonehenge, author of “Rural Sports,” and the Rev. J. G. Wood, author of several works on Natural History, who also furnished some of the designs. The remaining illustrations are by William Harvey and Harrison Weir; and the credit for the able manner in which they have been engraved is due to the brothers Dalziel.",,"[('Patsy Bell', 'for years I have been searching for The Family Coach and now I have finally found it. It is such a inclusive Victorian family or friends party game. you just need good listening for the participants and a talented storyteller. An example script is included but you are free to add/ adapt how you want. I am so pleased, thank you :)')]"
  Kawanabe Kyosai Striking Japanese Woodblock Prints from the Last Great Master , $8.00 ,Ships from,979-8625885522,
 Playing It Cool ,$5.99,"Harper Nugent might have a little extra junk in her trunk, but her stepbrother calling her out on it is the last straw.... When rugby hottie Dexter Blake witnesses the insult, he surprises Harper by asking her out - in front of her dumbass brother. Score! Of course, she knows it’s not for reals, but Dex won’t take no for an answer. ",,"[('Mrs. Helen Sibbritt', 'WOW, WOW and WOW this is one smoking hot fabulous story. MS Andrews has such a way with words that she had me laughing smiling sighing fanning myself and just really enjoying myself while reading this one.'), ('Katie', 'Harper Nugent is one curvy fun loving artist heroine, she has been put down about her body most of her life and from family also, so she has a body issues but she knows how to enjoy life so when she is put down on the side of the rugby field by her step brother Sydney Smoke player Dexter Blake steps up and asks her out is this about to change her life forever why does Dex want to ask her out a joke bet maybe?'), ('Kaatiya13', 'Dexter Blake only has one thing he wants to think about and that is rugby he has come a long way from his childhood and there is no way he wants to go back so woman aren’t top of his list but when he sees the gorgeous Harper being insulted he steps in you see Dex loves curvy woman he is drawn to them and so begins a sexy sensual and sizzling journey for Dex and Harper.')]"
  Superkids Reader 2nd Semester (Non-Consumable) ISBN-13: 9781614365808 ,  ,Ships from,,
  The Trader's Reward: gripping and unforgettable storytelling from one of Britain's best-loved saga writers (The Traders) , $3.99 ,"BRILLIANT STORYTELLING FROM ONE OF BRITAIN'S BEST-LOVED SAGA WRITERS, WITH OVER 5 MILLION COPIES SOLD WORLDWIDE!",,"[('Clara', 'This has been a great reading experience.'), ('C Woods', ""I've now come to the last ending.  I'm sorry to come have to the end. Will watch for any""), ('Merilyn Pedrick', 'more books by this author.')]"
  ADULT SARCASM COLORING BOOK: COLORING BOOK , $5.99 ,Ships from,979-8403015462,
"  Crochet Mega-Bundle 23 In 1: 244 Projects And 23 Books On Crocheting From Beginner To Advanced Level: (Crochet Pattern Books, Afghan Crochet Patterns, Crocheted Patterns, Filet Crochet Pattern Books) ",    $0.00   ,Crochet Mega-Bundle 23 In 1: 244 Projects And 23 Books On Crocheting From Beginner To Advanced Level,,"[('Lacey Norrid', 'Not what I was looking for but it has a lot of great patterns. Loved the little fairy bag. Worth flipping through.'), ('mahalstead', 'While there are a few nuggets of good information, its painfully obvious that almost none of them were written by someone who had a decent command of the English language. As a person who has crocheted for almost 50 years, there were almost no ""patterns"" that were written in an understandable way. If I were a beginner and I opened these books, I would run screaming to get as far away from crocheting as possible. Even as a well seasoned crocheted I couldn\'t make heads or tails of most of the ""instructions"". Couple all of that with the ridiculous amount of repetition (better than half was the same exact information found in the first 3-4 pages), there is simply nothing here to recommend this compendium.'), ('beccakes', 'Found a few simple patterns to zone out too just not enough pictures for some of the instructions more photos would have been helpful nothing new or different')]"
  What to Expect When Your Humans are Expecting , $17.99 ,Ships from,978-1735866901,"[('Amazon Customer', 'This is an adorable book for expectant parents. The pictures are perfect and priceless. It might also be a good book to read with a child who is about to have their first sibling. It would let them know that the changes aren’t forever and that they too may end up with a friend for life.'), ('AZ Book Addict', 'Great gift for  family  with dogs expecting a baby!'), ('cynthia jordan', 'Wife got a great kick out of it! Pup was not amused...')]"
  The Ghost: The Murder of Police Chief Greg Adams and the Hunt for His Killer ,$8.95,Ships from,978-1934912966,"[('Amazon Customer', ""Well written and excellent research. A tribute to the local,state and federal officers who never gave up in solving a brother officer's cold blooded killing.  Heart warming.""), ('BruceTex', ""I'm currently watching the trial of Steven Wiggins who killed Sgt Daniel Baker in TN and tried to burn his body (live streaming on YouTube, Law & Crime network). So this is popping up on kindle unlimited at the same time as that very high profile case.""), ('Lil Miss from Michigan', ""This book was very good & doesn't seem to have been written from online or news articles but from REAL interviews with the people involved, which is what I look for first in a TC book. This is the one thing stopping me from trying my hand at writing... How do you approach these people? How do you get them to even talk to you In the first place? It has to be so difficult!"")]"
  4 Volume Answers Book Box Set , $49.99 ,Ships from,,"[('Amazon Customer', 'If you are looking for biblical answers to some tough questions this is a great book for you. My 10 year old is already interested in preaching truth to his friends and thesw booka have helped him find solid, biblical based truth to answer some of his peers questions. Some of the answers are over his head, so if you are thinking about getting for a 10-13 year old just know you will probably have to read it with. Definitely geared towards adult readers, but we will be using in for homeschooling of kiddos.'), ('Destry Dispain', 'Reading going slowly but easy to understand answers to questions that have been on/in my mind forever.'), ('Gigi', ""These books were used and rated in good condition.  This was an understatement.  They were like new, in excellent shape.  I bought them for my husband for Father's Day and he had been enjoying them immensely.  Also, they arrived well before the promised delivery date."")]"
  My First Bilingual Book–Animals (English–Arabic) (Arabic Edition) , $5.99 ,"Guaranteed to enrich a toddler's vocabulary, this simple and fun series of bilingual board books is ideal for helping children discover a foreign language. Highlighting more complex concepts that go beyond colors and numbers, titles in the series feature animals, fruit, home, and vegetables. This collection combines photographs, bright illustrations, and dual-language words in clear, bold text. Suitable for both individuals and groups, these books are a child's perfect introduction to exploring other cultures.",,"[('Amazon Customer', 'This was a request by the mother. Such a cute gift to get the baby to learn multiple languages!'), ('A.K.', 'I am Polish. My husband is Jamaican. My daughters were born in the US, where we all live. English language is our way of communication, and since I speak Polish only with my parents, it became a second language to me (although I grew up with it).'), ('Sabina', 'My daughters watch cartoons in English, we read bedtime stories mostly in English (mainly because they do not understand Polish well), they hear me and my husband speak English, they interact with neighbours and their children in English. There is just not enough motivation for them to even try to speak Polish, and when it is time for me to communicate with them so they understand, English is so much easier.')]"
  oh my inspirational coloring book for women: Great for women and teens for stress relief and to be inspired. Great for anxiety relief and to let you ... (Adult/Teen coloring collection ✨) , $16.99 ,Ships from,979-8877599987,
  Found in Embers (Astrid Stone Book 1) , $0.99 ,How far would you go to save your only sister?,,"[('Urban Fantasy FTW!', '""Found in Embers"" is a great read, and you will find it hard to put it down! The main protagonist is very likeable and her love/hate relationship with the male protagonist is a great side story. I was very impressed by the author\'s attention to detail when it came to the magic system of her world. Even the lands are affected by the types of magic that are prevalent and common in those particular areas.'), ('Eetu', 'Her writing is in the first person, and some of her protagonist\'s thoughts are really funny in comparison to her actions or what she says. All in all, ""Found in Embers"" is an enjoyable trip to a magical realm and I highly recommend it!'), ('Toliver Dare', ""Found in Embers took me on a thrilling ride through a unique blend of urban fantasy and realm-hopping adventure. Astrid's determination to rescue her sister, Lyric, had me hooked from the start, and the introduction of a dragonborn assassin added an exciting layer to the story. The author's witty writing style, evident in charming exchanges like the popcorn joke scene, provided moments of levity amidst the intense plot. The promise of a trilogy has me eagerly anticipating the next installments—I can't wait to delve deeper into this magical world. A solid 4-star read that left me craving more!"")]"
